"CU_ID","Year","Value"
"SEL-03-04",2015,5428.38145003363
"SEL-03-04",2016,4061.59976337406
"SEL-03-04",2017,4031.72247186863
"SEL-03-04",2018,3691.3658733946
"SEL-03-04",2019,3604.05032253513
"SEL-03-04",2020,2635.16987787225
"SEL-03-04",2021,3312.34067010685
"SEL-03-04",2022,4470.88162024178
"SEL-03-04",2023,9377.60097342793
"SEL-04-01",1995,89628.0027364164
"SEL-04-01",1996,65212.9112895557
"SEL-04-01",1997,43321.4919859545
"SEL-04-01",1998,70974.941798955
"SEL-04-01",1999,75725.0538637853
"SEL-04-01",2000,53582.3980953402
"SEL-04-01",2001,52370.0212516982
"SEL-04-01",2002,51932.4052491237
"SEL-04-01",2003,82772.899721721
"SEL-04-01",2004,107905.627034011
"SEL-04-01",2005,113623.939923124
"SEL-04-01",2006,112641.635589315
"SEL-04-01",2007,82707.9842244327
"SEL-04-01",2008,63460.5907982253
"SEL-04-01",2009,63619.7834041711
"SEL-04-01",2010,52906.9199229387
"SEL-04-01",2011,62112.455909093
"SEL-04-01",2012,51614.4377514323
"SEL-04-01",2013,56466.5410402053
"SEL-04-01",2014,40484.6232745163
"SEL-04-01",2015,28901.7908401607
"SEL-04-01",2016,42020.7401160071
"SEL-04-01",2017,29062.1558477295
"SEL-04-01",2018,23330.8743980051
